Berechne für Zylindermantel:
 R[m]| L[m]| --- |M[kg]|       a⃗ |       u⃗ || J analytisch | J berechnet
-----|-----|-----|-----|---------|---------||--------------|------------
   1 |   1 |   0 |   1 | (0,0,0) | (0,0,1) ||            1 |           1
   1 |   1 |   0 |   2 | (0,0,0) | (0,0,1) ||            2 |           2
   2 |   1 |   0 |   1 | (0,0,0) | (0,0,1) ||            4 |           4
   1 |   1 |   0 |   1 | (0,1,0) | (0,0,1) ||            2 |     2.00558
   1 |   1 |   0 |   2 | (0,1,0) | (0,0,1) ||            4 |     4.04001
   2 |   1 |   0 |   1 | (0,2,0) | (0,0,1) ||            8 |     8.04285

Berechne für Vollzylinder:
 R[m]| L[m]| --- |M[kg]|       a⃗ |       u⃗ || J analytisch | J berechnet
-----|-----|-----|-----|---------|---------||--------------|------------
   1 |   1 |   0 |   1 | (0,0,0) | (0,0,1) ||          0.5 |    0.498984
   1 |   1 |   0 |   2 | (0,0,0) | (0,0,1) ||            1 |     1.00005
   2 |   1 |   0 |   1 | (0,0,0) | (0,0,1) ||            2 |     1.98181
   1 |   1 |   0 |   1 | (0,1,0) | (0,0,1) ||          1.5 |     1.49337
   1 |   1 |   0 |   2 | (0,1,0) | (0,0,1) ||            3 |     3.04534
   2 |   1 |   0 |   1 | (0,2,0) | (0,0,1) ||            6 |     6.00848

Berechne für Hohlzylinder:
R2[m]| L[m]|R1[m]|M[kg]|       a⃗ |       u⃗ || J analytisch | J berechnet
-----|-----|-----|-----|---------|---------||--------------|------------
   1 |   1 | 0.5 |   1 | (0,0,0) | (0,0,1) ||        0.625 |    0.627032
   1 |   1 | 0.5 |   2 | (0,0,0) | (0,0,1) ||         1.25 |     1.25578
   2 |   1 | 1.5 |   1 | (0,0,0) | (0,0,1) ||        3.125 |     3.12551
   1 |   1 | 0.5 |   1 | (0,1,0) | (0,0,1) ||        1.625 |     1.62439
   1 |   1 | 0.5 |   2 | (0,1,0) | (0,0,1) ||         3.25 |     3.25476
   2 |   1 | 1.5 |   1 | (0,2,0) | (0,0,1) ||        7.125 |     7.20893

Berechne für Kugelmantel:
 R[m]| --- | --- |M[kg]|       a⃗ |       u⃗ || J analytisch | J berechnet
-----|-----|-----|-----|---------|---------||--------------|------------
   1 |   0 |   0 |   1 | (0,0,0) | (0,0,1) ||     0.666667 |     0.67175
   1 |   0 |   0 |   2 | (0,0,0) | (0,0,1) ||      1.33333 |     1.32182
   2 |   0 |   0 |   1 | (0,0,0) | (0,0,1) ||      2.66667 |     2.66993
   1 |   0 |   0 |   1 | (0,1,0) | (0,0,1) ||      1.66667 |     1.66169
   1 |   0 |   0 |   2 | (0,1,0) | (0,0,1) ||      3.33333 |     3.32073
   2 |   0 |   0 |   1 | (0,2,0) | (0,0,1) ||      6.66667 |     6.71344

Berechne für Kugel:
 R[m]| --- | --- |M[kg]|       a⃗ |       u⃗ || J analytisch | J berechnet
-----|-----|-----|-----|---------|---------||--------------|------------
   1 |   0 |   0 |   1 | (0,0,0) | (0,0,1) ||          0.4 |    0.400111
   1 |   0 |   0 |   2 | (0,0,0) | (0,0,1) ||          0.8 |    0.795125
   2 |   0 |   0 |   1 | (0,0,0) | (0,0,1) ||          1.6 |      1.6005
   1 |   0 |   0 |   1 | (0,1,0) | (0,0,1) ||          1.4 |     1.40896
   1 |   0 |   0 |   2 | (0,1,0) | (0,0,1) ||          2.8 |     2.80779
   2 |   0 |   0 |   1 | (0,2,0) | (0,0,1) ||          5.6 |     5.57716

Berechne für Quader:
 x[m]| y[m]| z[m]|M[kg]|       a⃗ |       u⃗ || J analytisch | J berechnet
-----|-----|-----|-----|---------|---------||--------------|------------
   1 |   1 | 0.5 |   1 | (0,0,0) | (0,0,1) ||     0.166667 |      0.1671
   1 |   1 | 0.5 |   2 | (0,0,0) | (0,0,1) ||     0.333333 |    0.335942
   2 |   1 | 1.5 |   1 | (0,0,0) | (0,0,1) ||     0.416667 |     0.41621
   1 |   1 | 0.5 |   1 | (0,1,0) | (0,0,1) ||      1.16667 |     1.16279
   1 |   1 | 0.5 |   2 | (0,1,0) | (0,0,1) ||      2.33333 |     2.33724
   2 |   1 | 1.5 |   1 | (0,2,0) | (0,0,1) ||      4.41667 |      4.4264

